year,emissions
2014,39.630948053948316
2015,39.15272629838611
2016,39.45168701801003
2017,39.75064773763393
2018,40.04960845725783
2019,40.34856917688174
2020,40.64752989650565
2021,40.930383162101755
2022,41.21323642769786
2023,41.49608969329396
2024,41.77894295889006
2025,42.06179622448616
2026,42.34464949008226
2027,42.627502755678364
2028,42.91035602127447
2029,43.19320928687057
2030,43.47606255246667
2031,43.553746300349765
2032,43.63143004823286
2033,43.70911379611595
2034,43.78679754399904
2035,43.864481291882136
2036,43.94216503976523
2037,44.01984878764832
2038,44.097532535531414
2039,44.17521628341451
2040,44.2529000312976
2041,44.173829032420805
2042,44.09475803354402
2043,44.015687034667216
2044,43.93661603579042
2045,43.857545036913635
2046,43.77847403803684
2047,43.699403039160046
2048,43.620332040283245
2049,43.54126104140646
2050,43.46219004252966
2051,43.13561952122526
2052,42.809048999920854
2053,42.48247847861644
2054,42.15590795731204
2055,41.82933743600764
2056,41.50276691470324
2057,41.17619639339883
2058,40.84962587209443
2059,40.52305535079002
2060,40.19648482948561
2061,39.70037971973906
2062,39.2042746099925
2063,38.708169500245944
2064,38.21206439049939
2065,37.71595928075284
2066,37.219854171006276
2067,36.723749061259724
2068,36.22764395151317
2069,35.731538841766614
2070,35.235433732020056
2071,34.395727703375556
2072,33.55602167473104
2073,32.716315646086535
2074,31.876609617442032
2075,31.03690358879752
2076,30.197197560153015
2077,29.35749153150851
2078,28.517785502864
2079,27.678079474219498
2080,26.838373445574987
2081,25.786975257185436
2082,24.735577068795877
2083,23.68417888040632
2084,22.63278069201677
2085,21.58138250362721
2086,20.529984315237655
2087,19.478586126848104
2088,18.427187938458548
2089,17.37578975006899
2090,16.324391561679438
2091,15.660238284917007
2092,14.996085008154576
2093,14.331931731392146
2094,13.667778454629714
2095,13.003625177867283
2096,12.339471901104853
2097,11.67531862434242
2098,11.01116534757999
2099,10.347012070817561
