year,emissions
2014,39.630948053948316
2015,39.15272629838611
2016,39.260926329046384
2017,39.36912635970666
2018,39.47732639036693
2019,39.58552642102722
2020,39.69372645168749
2021,38.00908089825812
2022,36.324435344828764
2023,34.6397897913994
2024,32.955144237970046
2025,31.270498684540684
2026,29.58585313111132
2027,27.901207577681962
2028,26.2165620242526
2029,24.531916470823244
2030,22.847270917393878
2031,21.610052707592356
2032,20.372834497790834
2033,19.13561628798932
2034,17.898398078187796
2035,16.661179868386274
2036,15.423961658584753
2037,14.186743448783233
2038,12.94952523898171
2039,11.712307029180188
2040,10.47508881937867
2041,9.632616093216667
2042,8.790143367054663
2043,7.947670640892659
2044,7.105197914730656
2045,6.262725188568653
2046,5.42025246240665
2047,4.577779736244646
2048,3.7353070100826438
2049,2.892834283920641
2050,2.0503615577586376
2051,1.6927275702407687
2052,1.3350935827229
2053,0.9774595952050313
2054,0.6198256076871625
2055,0.26219162016929387
2056,-0.09544236734857486
2057,-0.4530763548664436
2058,-0.8107103423843123
2059,-1.168344329902181
2060,-1.52597831742005
2061,-1.8210775006201798
2062,-2.11617668382031
2063,-2.4112758670204397
2064,-2.7063750502205695
2065,-3.0014742334206996
2066,-3.2965734166208294
2067,-3.5916725998209595
2068,-3.8867717830210897
2069,-4.1818709662212195
2070,-4.47697014942135
2071,-4.760151392366224
2072,-5.043332635311099
2073,-5.326513878255973
2074,-5.609695121200847
2075,-5.892876364145722
2076,-6.176057607090597
2077,-6.459238850035471
2078,-6.742420092980344
2079,-7.025601335925219
2080,-7.308782578870094
2081,-7.634406603943045
2082,-7.960030629015997
2083,-8.28565465408895
2084,-8.6112786791619
2085,-8.936902704234852
2086,-9.262526729307803
2087,-9.588150754380756
2088,-9.913774779453707
2089,-10.239398804526658
2090,-10.56502282959961
2091,-10.897499301315085
2092,-11.229975773030562
2093,-11.562452244746035
2094,-11.89492871646151
2095,-12.227405188176986
2096,-12.559881659892463
2097,-12.892358131607939
2098,-13.224834603323412
2099,-13.557311075038887
